IP地址	端口	回源端口	TLS	数据中心	地区	城市	TCP延迟(ms)	速度(MB/s)
47.243.161.235	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	67	4.19
47.76.146.1	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	79	4.19
8.209.214.222	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	87	4.19
47.236.4.129	2082	2082	FALSE	SIN	Asia Pacific	Singapore	22	4.19
8.210.117.18	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	34	4.18
8.219.178.101	2082	2082	FALSE	SIN	Asia Pacific	Singapore	30	4.18
8.209.214.222	2052	2052	FALSE	NRT	Asia Pacific	Tokyo	80	4.18
8.219.253.18	8080	8080	FALSE	SIN	Asia Pacific	Singapore	18	4.18
8.218.2.181	2087	2087	TRUE	HKG	Asia Pacific	Hong Kong	85	4.18
47.74.34.162	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	126	4.17
47.243.42.219	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	48	4.17
47.76.80.72	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	49	4.17
8.217.248.220	443	443	TRUE	HKG	Asia Pacific	Hong Kong	66	4.17
8.210.55.134	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	39	4.17
47.245.41.69	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	138	4.17
8.210.65.12	8080	80	FALSE	HKG	Asia Pacific	Hong Kong	55	4.17
47.245.32.215	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	166	4.16
8.218.2.181	2096	2096	TRUE	HKG	Asia Pacific	Hong Kong	77	4.16
47.245.58.175	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	128	4.16
47.245.37.29	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	166	4.16
47.242.234.127	2052	2052	FALSE	HKG	Asia Pacific	Hong Kong	37	4.15
8.222.222.64	2052	2052	FALSE	SIN	Asia Pacific	Singapore	10	4.15
47.243.118.63	443	443	TRUE	HKG	Asia Pacific	Hong Kong	38	4.15
47.245.56.29	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	79	4.15
47.245.58.250	2087	2087	TRUE	NRT	Asia Pacific	Tokyo	74	4.15
47.242.59.216	80	80	FALSE	HKG	Asia Pacific	Hong Kong	44	4.14
47.76.33.40	80	80	FALSE	HKG	Asia Pacific	Hong Kong	79	4.14
8.217.251.62	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	96	4.14
8.219.6.157	2082	2082	FALSE	SIN	Asia Pacific	Singapore	17	4.14
47.74.14.85	8443	8443	TRUE	NRT	Asia Pacific	Tokyo	160	4.14
47.74.49.62	2086	2086	FALSE	NRT	Asia Pacific	Tokyo	73	4.13
8.219.197.111	443	443	TRUE	SIN	Asia Pacific	Singapore	86	4.13
47.242.234.127	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	52	4.13
8.219.209.14	2053	2053	TRUE	SIN	Asia Pacific	Singapore	59	4.13
47.236.150.109	2096	2096	TRUE	SIN	Asia Pacific	Singapore	131	4.13
8.219.215.214	80	80	FALSE	SIN	Asia Pacific	Singapore	12	4.12
8.209.212.5	2083	2083	TRUE	NRT	Asia Pacific	Tokyo	103	4.12
47.243.183.127	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	53	4.11
47.243.162.49	2082	2082	FALSE	HKG	Asia Pacific	Hong Kong	45	4.1
8.222.155.242	8080	8080	FALSE	SIN	Asia Pacific	Singapore	5	4.1
47.236.11.84	80	80	FALSE	SIN	Asia Pacific	Singapore	15	4.1
8.219.242.208	80	80	FALSE	SIN	Asia Pacific	Singapore	25	4.1
47.245.108.213	2083	2083	TRUE	SIN	Asia Pacific	Singapore	99	4.1
8.222.227.191	2052	2052	FALSE	SIN	Asia Pacific	Singapore	5	4.1
8.222.254.91	2082	2082	FALSE	SIN	Asia Pacific	Singapore	10	4.1
8.219.233.6	2087	2087	TRUE	SIN	Asia Pacific	Singapore	145	4.09
8.219.213.112	80	80	FALSE	SIN	Asia Pacific	Singapore	12	4.09
8.219.198.139	443	443	TRUE	SIN	Asia Pacific	Singapore	133	4.09
8.209.200.73	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	76	4.09
47.245.118.70	2096	2096	TRUE	SIN	Asia Pacific	Singapore	49	4.09
47.76.168.152	443	443	TRUE	HKG	Asia Pacific	Hong Kong	92	4.09
47.245.113.12	8080	8080	FALSE	SIN	Asia Pacific	Singapore	10	4.08
8.217.159.210	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	60	4.08
47.242.234.127	2082	2082	FALSE	HKG	Asia Pacific	Hong Kong	32	4.07
47.74.16.255	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	88	4.07
8.218.65.237	8880	8880	FALSE	HKG	Asia Pacific	Hong Kong	41	4.06
8.222.221.86	2086	2086	FALSE	SIN	Asia Pacific	Singapore	5	4.06
47.74.43.95	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	69	4.06
8.222.154.50	80	80	FALSE	SIN	Asia Pacific	Singapore	4	4.06
47.245.114.163	80	80	FALSE	SIN	Asia Pacific	Singapore	6	4.06
47.242.155.183	8880	8880	FALSE	HKG	Asia Pacific	Hong Kong	51	4.06
47.76.176.242	443	443	TRUE	HKG	Asia Pacific	Hong Kong	43	4.06
8.218.11.90	2086	2086	FALSE	HKG	Asia Pacific	Hong Kong	46	4.06
47.245.29.126	8880	8880	FALSE	NRT	Asia Pacific	Tokyo	78	4.06
8.219.233.6	2083	2083	TRUE	SIN	Asia Pacific	Singapore	38	4.05
8.209.214.157	2053	2053	TRUE	NRT	Asia Pacific	Tokyo	131	4.05
8.219.220.88	8880	8880	FALSE	SIN	Asia Pacific	Singapore	38	4.05
47.245.57.109	2096	2096	TRUE	NRT	Asia Pacific	Tokyo	102	4.05
8.217.248.220	2082	2082	FALSE	HKG	Asia Pacific	Hong Kong	41	4.05
47.74.41.87	8080	8080	FALSE	NRT	Asia Pacific	Tokyo	74	4.05
47.236.5.223	2052	2052	FALSE	SIN	Asia Pacific	Singapore	22	4.04
8.218.48.92	2083	2083	TRUE	HKG	Asia Pacific	Hong Kong	49	4.04
47.245.40.55	8443	8443	TRUE	HKG	Asia Pacific	Hong Kong	235	4.04
47.245.107.174	8080	8080	FALSE	SIN	Asia Pacific	Singapore	28	4.04
